date,open,high,low,close,volume,average,barCount
2025-10-21 13:39:00-04:00,445.45,445.62,444.95,445.02,66402.0,445.326,334
2025-10-21 13:40:00-04:00,445.09,445.8,445.0,445.6,69721.0,445.53,347
2025-10-21 13:41:00-04:00,445.69,446.02,445.64,446.0,95918.0,445.935,435
2025-10-21 13:42:00-04:00,446.02,446.15,445.9,446.1,67343.0,446.032,316
2025-10-21 13:43:00-04:00,446.1,446.27,445.98,446.19,47745.0,446.155,252
2025-10-21 13:44:00-04:00,446.21,446.35,445.92,446.11,52166.0,446.193,302
2025-10-21 13:45:00-04:00,446.1,446.19,445.84,445.94,44544.0,446.052,240
2025-10-21 13:46:00-04:00,445.97,446.01,445.77,446.0,48065.0,445.945,198
2025-10-21 13:47:00-04:00,445.97,446.26,445.94,446.07,62343.0,446.137,342
2025-10-21 13:48:00-04:00,446.06,446.17,445.87,445.95,49959.0,445.99,249
2025-10-21 13:49:00-04:00,445.95,445.99,445.65,445.76,42859.0,445.835,228
2025-10-21 13:50:00-04:00,445.77,445.91,445.71,445.77,34722.0,445.8,175
2025-10-21 13:51:00-04:00,445.73,446.09,445.7,446.04,40735.0,445.892,187
2025-10-21 13:52:00-04:00,446.0,446.18,445.92,446.1,50535.0,446.034,262
2025-10-21 13:53:00-04:00,446.1,446.27,445.87,446.12,51425.0,446.085,228
2025-10-21 13:54:00-04:00,446.12,446.27,446.02,446.09,42417.0,446.144,222
2025-10-21 13:55:00-04:00,446.11,446.44,446.02,446.35,63597.0,446.266,307
2025-10-21 13:56:00-04:00,446.35,446.35,446.01,446.17,42831.0,446.189,235
2025-10-21 13:57:00-04:00,446.13,446.31,446.08,446.21,27942.0,446.204,162
2025-10-21 13:58:00-04:00,446.22,446.48,446.16,446.45,47115.0,446.348,242
2025-10-21 13:59:00-04:00,446.46,446.5,446.3,446.35,49198.0,446.398,233
2025-10-21 14:00:00-04:00,446.33,446.47,446.28,446.38,30255.0,446.364,164
2025-10-21 14:01:00-04:00,446.39,446.47,446.16,446.16,45041.0,446.358,210
2025-10-21 14:02:00-04:00,446.2,446.23,445.8,445.94,91194.0,446.042,380
2025-10-21 14:03:00-04:00,445.9,445.94,445.45,445.55,86689.0,445.591,406
2025-10-21 14:04:00-04:00,445.56,445.69,445.5,445.52,52480.0,445.581,300
2025-10-21 14:05:00-04:00,445.52,445.65,445.1,445.12,98992.0,445.305,488
2025-10-21 14:06:00-04:00,445.12,445.19,444.81,445.09,109196.0,445.002,603
2025-10-21 14:07:00-04:00,445.09,445.38,445.01,445.27,52956.0,445.214,275
2025-10-21 14:08:00-04:00,445.26,445.47,445.15,445.27,57684.0,445.335,252
2025-10-21 14:09:00-04:00,445.25,445.33,444.9,445.01,53663.0,445.058,276
2025-10-21 14:10:00-04:00,445.01,445.12,444.81,444.87,57488.0,444.946,274
2025-10-21 14:11:00-04:00,444.87,445.07,444.51,444.59,97071.0,444.715,449
2025-10-21 14:12:00-04:00,444.66,444.7,444.5,444.68,68776.0,444.611,348
2025-10-21 14:13:00-04:00,444.69,444.7,444.32,444.68,98061.0,444.508,421
2025-10-21 14:14:00-04:00,444.73,444.99,444.68,444.86,75992.0,444.843,399
2025-10-21 14:15:00-04:00,444.88,445.09,444.64,444.87,81358.0,444.909,438
2025-10-21 14:16:00-04:00,444.91,444.92,444.69,444.73,44998.0,444.792,230
2025-10-21 14:17:00-04:00,444.73,444.8,444.33,444.6,81232.0,444.499,413
2025-10-21 14:18:00-04:00,444.55,444.84,444.53,444.68,44192.0,444.659,251
2025-10-21 14:19:00-04:00,444.68,444.82,444.45,444.79,51951.0,444.664,266
2025-10-21 14:20:00-04:00,444.8,445.03,444.65,444.75,80106.0,444.859,393
2025-10-21 14:21:00-04:00,444.78,445.06,444.64,444.87,53683.0,444.876,291
2025-10-21 14:22:00-04:00,444.86,445.15,444.64,445.13,72476.0,444.916,307
2025-10-21 14:23:00-04:00,445.14,445.28,445.03,445.21,80951.0,445.153,358
2025-10-21 14:24:00-04:00,445.18,445.21,444.74,444.74,87782.0,445.01,348
